v0,N,dpsi_deg,vstar
250,28,32,294.6
250,28,34,294.6
250,28,36,296.1
250,28,38,296.1
250,28,40,296.1
250,28,42,296.1
250,28,44,296.1
250,28,46,296.1
250,28,48,296.1
250,28,50,296.1
250,28,52,296.1
250,28,54,296.1
250,28,56,294.6
250,28,58,294.6
250,28,60,296.1
250,28,62,296.1
250,28,64,296.1
250,28,66,296.1
250,28,68,296.1
250,28,70,296.1
250,28,72,296.1
250,28,74,296.1
250,28,76,296.1
250,28,78,296.1
250,28,80,294.6
250,28,82,294.6
250,28,84,294.6
250,28,86,296.1
250,28,88,296.1
250,28,90,296.1
250,28,92,296.1
250,28,94,293.2
250,28,96,296.1
250,28,98,296.1
250,28,100,296.1
250,28,102,296.1
250,28,104,296.1
250,28,106,294.6
250,28,108,293.8
250,28,110,294.6
250,28,112,296.1
250,28,114,293.8
250,28,116,293.1
250,28,118,294.6
250,28,120,293.8
250,28,122,296.1
250,28,124,293.0
250,28,126,292.2
250,28,128,293.8
250,28,130,293.8
250,28,132,293.8
250,28,134,290.7
250,28,136,293.0
250,28,138,290.1
250,28,140,291.4
250,28,142,290.2
250,28,144,292.9
250,28,146,292.9
250,28,148,290.0
250,28,150,293.2
250,28,152,291.5
250,28,154,291.6
250,28,156,291.6
250,28,158,293.0
250,28,160,293.1
250,28,162,293.2
250,28,164,291.0
250,28,166,290.5
250,28,168,290.5
250,28,170,290.7
250,28,172,293.3
250,28,174,293.6
250,28,176,290.9
250,28,178,290.9
250,28,180,291.8
250,30,0,299.2
250,30,2,299.2
250,30,4,299.2
250,30,6,297.7
250,30,8,299.2
250,30,10,299.2
250,30,12,299.2
250,30,14,299.2
250,30,16,299.2
250,30,18,299.2
250,30,20,299.2
250,30,22,299.2
250,30,24,299.2
250,30,26,299.2
250,30,28,299.2
250,30,30,297.7
250,30,32,297.7
250,30,34,299.2
250,30,36,299.2
250,30,38,299.2
250,30,40,299.2
250,30,42,299.2
250,30,44,299.2
250,30,46,299.2
250,30,48,299.2
250,30,50,299.2
250,30,52,299.2
250,30,54,299.2
250,30,56,299.2
250,30,58,297.7
250,30,60,299.2
250,30,62,299.2
250,30,64,299.2
250,30,66,299.2
250,30,68,299.2
250,30,70,299.2
250,30,72,299.2
250,30,74,299.2
250,30,76,299.2
250,30,78,297.7
250,30,80,297.7
250,30,82,299.2
250,30,84,299.2
250,30,86,299.2
250,30,88,299.2
250,30,90,299.2
250,30,92,297.7
250,30,94,299.2
250,30,96,299.2
250,30,98,299.2
250,30,100,299.2
250,30,102,296.8
250,30,104,299.2
250,30,106,297.7
250,30,108,299.2
250,30,110,297.7
250,30,112,299.2
250,30,114,299.2
250,30,116,296.1
250,30,118,297.7
250,30,120,296.4
250,30,122,299.2
250,30,124,296.8
250,30,126,296.8
250,30,128,296.8
250,30,130,296.8
250,30,132,296.8
250,30,134,296.7
250,30,136,294.3
250,30,138,296.1
250,30,140,294.4
250,30,142,294.5
250,30,144,294.5
250,30,146,295.9
250,30,148,296.0
250,30,150,296.1
250,30,152,294.3
250,30,154,294.6
250,30,156,295.8
250,30,158,296.1
250,30,160,296.2
250,30,162,296.8
250,30,164,294.7
250,30,166,293.4
250,30,168,295.3
250,30,170,296.3
250,30,172,296.3
250,30,174,299.2
250,30,176,296.6
250,30,178,293.9
250,30,180,294.9
250,32,0,302.2
250,32,2,302.2
250,32,4,302.2
250,32,6,302.2
250,32,8,302.2
250,32,10,302.2
250,32,12,302.2
250,32,14,302.2
250,32,16,302.2
250,32,18,302.2
250,32,20,302.2
250,32,22,302.2
250,32,24,302.2
250,32,26,302.2
250,32,28,302.2
250,32,30,302.2
250,32,32,302.2
250,32,34,302.2
250,32,36,302.2
250,32,38,302.2
250,32,40,302.2
250,32,42,302.2
